sex,avg(age),avg(bmi),avg(charges),var_samp(age),var_samp(bmi),var_samp(charges)
female,39.37230769230769,30.29263076923078,11725.088760581539,192.12330484330505,33.49048418423554,1.1181516399093142E8
male,38.698830409356724,30.896988304093544,13801.243798274852,204.33425082745973,40.417653073176574,1.6292141050263765E8
