sex,mean(age),mean(bmi),mean(charges),variance(age),variance(bmi),variance(charges)
female,39.73508539163103,30.48667035467857,12651.655612496867,196.22528786863415,36.11547494175679,1.2538244556562214E8
male,38.89782451546207,31.04325757058003,14077.58028364542,192.88576669154259,37.79784057358306,1.696236249084293E8
